"id","userId","amount","vendorName","transactionDate","category","paymentMethod","cardLastFourDigits","place","notes","createdAt","updatedAt"
"38172df7-2161-4ab9-a57f-431aebbb8959","fasddfsadasdsad","4521.63","Panda","2025-08-18T17:54:11.777Z","Electronics","cash","6797","Tahrir Square","Transaction note 368","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"31c264ae-4196-450b-9018-e815259ed04d","fasddfsadasdsad","632.02","Electronix","2025-08-11T17:54:11.777Z","Food","credit_card","2123","6th Of Ocotber","Transaction note 116","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"90709283-cb92-428b-832b-6195745acce0","fasddfsadasdsad","4119.88","HealthPlus","2024-12-18T18:54:11.777Z","Groceries","debit_card",,"Downtown","Transaction note 350","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"a68a116a-75fc-4201-a4fa-7447b554663b","fasddfsadasdsad","1672.67","HyperMart","2025-10-12T17:54:11.777Z","Food","credit_card","3885","Fifth Settlement","Transaction note 605","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"d33487cf-657a-4f59-9736-4af9e255ace3","fasddfsadasdsad","1936.26","HyperMart","2023-12-30T18:54:11.777Z","Entertainment","credit_card","8412","City Park","Transaction note 827","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"0dc107ec-6b4d-4fe5-90f6-864f3f2d460e","fasddfsadasdsad","2712.61","Abdo4Tech","2024-08-29T17:54:11.777Z","Electronics","credit_card","2632","6th Of Ocotber","Transaction note 779","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"c1f2ca6f-8c3c-4281-a21c-ed557f9a4d25","fasddfsadasdsad","2817.45","SportsHub","2024-11-03T18:54:11.777Z","Groceries","other",,"Central Park","Transaction note 432","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"d61dcd4c-0922-4805-ab82-c5de7db68a77","fasddfsadasdsad","4618.52","Abdo4Tech","2024-11-04T18:54:11.777Z","Electronics","debit_card",,"Central Park","Transaction note 974","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"145538f6-f7e2-4b21-bc07-2f3a0e94b94a","fasddfsadasdsad","2404.09","Uncle Bashandy","2024-09-25T17:54:11.777Z","Electronics","cash","4570","6th Of Ocotber","Transaction note 99","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"4c7a46f5-a0b5-4c6b-b4a0-7d0736f225da","fasddfsadasdsad","3883.93","HyperMart","2024-04-26T17:54:11.777Z","Electronics","credit_card","1073","New Cairo","Transaction note 271","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"9783c4c8-c63b-4106-bca1-704ebe00bf2d","fasddfsadasdsad","2126.94","HealthPlus","2024-01-31T18:54:11.777Z","Utilities","debit_card","6334","Fifth Settlement","Transaction note 253","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"db7f44e0-a359-43d4-8c8d-61012773fc45","fasddfsadasdsad","4053.10","Electronix","2025-11-14T18:54:11.777Z","Utilities","credit_card","2480","Central Park","Transaction note 764","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"276f6edd-f0cf-48f0-833b-cb79f6fa9818","fasddfsadasdsad","2683.51","Abdo4Tech","2025-01-24T18:54:11.777Z","Electronics","debit_card","1129","DreamLand","Transaction note 869","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"04e34fbe-8938-4023-9239-2ad6f370e3ba","fasddfsadasdsad","946.85","SportsHub","2025-10-01T17:54:11.777Z","Groceries","other","8725","6th Of Ocotber","Transaction note 661","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"b0de630e-0dc4-4621-982f-5c9867ef559d","fasddfsadasdsad","929.48","Panda","2024-04-27T17:54:11.777Z","Entertainment","cash","5063","New Cairo","Transaction note 576","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"b9fd69b8-eb25-4ca3-959f-056eb7c925be","fasddfsadasdsad","995.43","HyperMart","2024-10-16T17:54:11.777Z","Electronics","credit_card","2692","Fifth Settlement","Transaction note 115","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"275b46b3-39f5-4038-b55b-2a2455dc2d82","fasddfsadasdsad","2278.00","Panda","2024-06-06T17:54:11.777Z","Entertainment","credit_card",,"City Park","Transaction note 408","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"7ecadb36-52d5-4259-a1c6-6ce7c6ea293a","fasddfsadasdsad","1164.71","Electronix","2025-11-07T18:54:11.777Z","Food","other",,"DreamLand","Transaction note 134","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"ea02e3b0-2b48-47aa-91f4-a55e941a52e0","fasddfsadasdsad","178.44","Panda","2024-12-04T18:54:11.777Z","Groceries","cash","3450","Tahrir Square","Transaction note 231","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"7f5c5e67-5f9b-4145-bef2-f32b502ba03e","fasddfsadasdsad","2166.92","Panda","2024-12-18T18:54:11.777Z","Electronics","cash",,"6th Of Ocotber","Transaction note 644","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"5dabb9d2-d0fd-429d-b5f7-a92fc472b063","fasddfsadasdsad","4946.53","Panda","2024-01-03T18:54:11.777Z","Entertainment","debit_card","7582","DreamLand","Transaction note 734","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"17aff7ba-443b-400f-9cbf-51d1ca863c10","fasddfsadasdsad","4299.80","HyperMart","2024-08-31T17:54:11.777Z","Food","credit_card",,"Fifth Settlement","Transaction note 961","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"a3c79591-8b89-45e0-879d-561e98dee0ad","fasddfsadasdsad","3792.78","Abdo4Tech","2024-02-28T18:54:11.777Z","Entertainment","other","3140","Fifth Settlement","Transaction note 256","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"a09b66fb-129e-454b-ba14-78375fdcd54d","fasddfsadasdsad","1930.34","Uncle Bashandy","2025-05-21T17:54:11.777Z","Groceries","debit_card",,"DreamLand","Transaction note 645","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"47a0ea4d-6da2-4de3-bc66-15adecf0fd56","fasddfsadasdsad","1318.01","HyperMart","2024-04-05T18:54:11.777Z","Entertainment","credit_card",,"DreamLand","Transaction note 568","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"c2880d81-8a04-45bf-97b8-180bafc96351","fasddfsadasdsad","1965.12","Electronix","2025-09-12T17:54:11.777Z","Groceries","other","8308","Fifth Settlement","Transaction note 908","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"967e8809-a28d-4f7a-914e-7052a77210c9","fasddfsadasdsad","576.40","SportsHub","2025-02-28T18:54:11.777Z","Utilities","debit_card","1228","Downtown","Transaction note 458","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"635cf234-3570-4e76-9929-6b98f5436ead","fasddfsadasdsad","4191.41","Panda","2024-02-29T18:54:11.777Z","Entertainment","other","2040","New Cairo","Transaction note 116","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"b735c197-4643-4240-9657-4a7622994e03","fasddfsadasdsad","1234.79","HealthPlus","2024-02-15T18:54:11.777Z","Utilities","other","3787","Fifth Settlement","Transaction note 882","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"21b6cd91-761b-41f9-b119-7de5bcbb4a75","fasddfsadasdsad","3503.76","Uncle Bashandy","2025-10-27T17:54:11.777Z","Entertainment","debit_card","2263","DreamLand","Transaction note 214","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"dd00d884-2b03-411a-bf62-844306e1273e","fasddfsadasdsad","2822.57","Electronix","2024-01-19T18:54:11.777Z","Utilities","cash","9974","Downtown","Transaction note 561","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"a683db0d-8da9-41cf-90f5-e4849635a9ca","fasddfsadasdsad","466.53","Panda","2024-01-22T18:54:11.777Z","Groceries","credit_card",,"DreamLand","Transaction note 627","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"f0870a26-b64c-4f4d-86f7-9752e411f6f4","fasddfsadasdsad","1550.20","SportsHub","2024-06-14T17:54:11.777Z","Utilities","debit_card","2206","DreamLand","Transaction note 789","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"b7cf3a3d-3617-48b7-980f-114dfecbd070","fasddfsadasdsad","3653.14","Panda","2024-11-06T18:54:11.777Z","Utilities","other",,"Downtown","Transaction note 52","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"ed6b0207-a53c-4f65-bd7d-c6650884c7f3","fasddfsadasdsad","1349.11","Panda","2025-08-20T17:54:11.777Z","Groceries","debit_card","3541","New Cairo","Transaction note 142","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"e3d736d3-84a2-412a-96a3-ad70271142ee","fasddfsadasdsad","4696.63","HealthPlus","2024-11-16T18:54:11.777Z","Entertainment","debit_card",,"6th Of Ocotber","Transaction note 314","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"aec24947-f328-4a8b-818a-34afbe280123","fasddfsadasdsad","807.72","SportsHub","2025-06-03T17:54:11.777Z","Utilities","cash","2606","New Cairo","Transaction note 602","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"31c234e1-7983-402e-bab4-64ba5d57065c","fasddfsadasdsad","1151.65","HealthPlus","2024-04-02T18:54:11.777Z","Electronics","credit_card",,"Downtown","Transaction note 139","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"fcb7a029-6c2a-46ff-addb-97f346f18493","fasddfsadasdsad","322.10","Panda","2024-04-26T17:54:11.777Z","Electronics","cash",,"Central Park","Transaction note 475","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"b350858c-731e-4fe6-b333-6f79163d9f2d","fasddfsadasdsad","2469.41","Abdo4Tech","2025-05-01T17:54:11.777Z","Utilities","cash",,"6th Of Ocotber","Transaction note 795","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"caea4579-0267-4d7a-8098-c230eab37214","fasddfsadasdsad","2872.07","Uncle Bashandy","2024-07-15T17:54:11.777Z","Food","credit_card","6391","6th Of Ocotber","Transaction note 725","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"d83595a5-f00f-4ce3-9798-e697d0452184","fasddfsadasdsad","3307.68","Electronix","2024-08-25T17:54:11.777Z","Electronics","credit_card","7205","6th Of Ocotber","Transaction note 268","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"5ab34fed-f426-438c-abd0-7048ca114bcc","fasddfsadasdsad","425.14","HyperMart","2024-10-17T17:54:11.777Z","Groceries","other","8649","DreamLand","Transaction note 616","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"c058b01d-58a7-4136-8f14-227fafcea9eb","fasddfsadasdsad","2757.93","SportsHub","2024-09-22T17:54:11.777Z","Groceries","credit_card",,"Downtown","Transaction note 504","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"352ccf0b-3233-4d0c-9cb6-f33e48a833cd","fasddfsadasdsad","638.00","Uncle Bashandy","2024-02-01T18:54:11.777Z","Groceries","debit_card","5345","Fifth Settlement","Transaction note 569","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"9324f682-8ea1-46f6-b6c2-d60ff55e0cfd","fasddfsadasdsad","4109.12","HealthPlus","2025-08-07T17:54:11.777Z","Food","other",,"Fifth Settlement","Transaction note 318","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"c89e9cee-d112-46c8-ba91-6de996177ddb","fasddfsadasdsad","1783.05","Electronix","2024-02-28T18:54:11.777Z","Entertainment","other","3487","Central Park","Transaction note 661","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
"a94aee4c-4849-4ade-bc49-2c9be0eaccf0","fasddfsadasdsad","3009.96","Electronix","2024-10-13T17:54:11.777Z","Utilities","cash","2876","Downtown","Transaction note 735","2024-12-04T16:54:11.886Z","2024-12-04T16:54:11.886Z"
